ID,AGE,M/F
KKI2009-01,25,M
KKI2009-02,61,F
KKI2009-03,20,F
KKI2009-04,25,M
KKI2009-05,25,M
KKI2009-06,28,M
KKI2009-07,30,M
KKI2009-08,49,F
KKI2009-09,26,M
KKI2009-10,38,F
KKI2009-11,25,M
KKI2009-12,26,F
KKI2009-13,30,M
KKI2009-14,38,M
KKI2009-15,34,M
KKI2009-16,42,F
KKI2009-17,38,M
KKI2009-18,26,M
KKI2009-19,26,F
KKI2009-20,28,M
KKI2009-21,38,F
KKI2009-22,30,F
KKI2009-23,29,F
KKI2009-24,30,M
KKI2009-25,25,M
KKI2009-26,34,M
KKI2009-27,29,F
KKI2009-28,32,M
KKI2009-29,49,F
KKI2009-30,28,F
KKI2009-31,25,M
KKI2009-32,23,F
KKI2009-33,28,F
KKI2009-34,30,M
KKI2009-35,42,F
KKI2009-36,23,F
KKI2009-37,61,F
KKI2009-38,26,M
KKI2009-39,22,F
KKI2009-40,32,M
KKI2009-41,22,F
KKI2009-42,26,M
